Numero,Local,TotalCasos,NovosCasos,TotalMortes,NovasMortes,TotalRecuperados,Casos Ativos,CasosSerios,TotalCasos/1M,TotalMortes/1M,TotalTestes,Testes/1M,Populacao,Continente,Casos/10,Mortes/10,Teste/10,Novos/1M,Mortes/1M,Ativos/1M
48,Cuba,"985,402",,"8,330",,"965,004","12,068",38,"87,080",736,"12,042,779","1,064,222","11,316,037",North America,11,"1,358",1,,,"1,066"
49,Georgia,"979,235","+5,326","14,359",+48,"922,411","42,465",,"246,197","3,610","13,398,424","3,368,596","3,977,450",Asia,4,277,0,"1,339",12,"10,676"
50,Slovakia,"872,511","+2,848","17,128",+47,"821,657","33,726",395,"159,693","3,135","5,227,308","956,736","5,463,688",Europe,6,319,1,521,9,"6,173"
51,Nepal,"841,297","+2,922","11,610",+1,"815,347","14,340",114,"28,102",388,"4,967,786","165,937","29,937,739",Asia,36,"2,579",6,98,0.03,479
52,Bulgaria,"799,943",,"31,838",,"628,512","139,593",579,"116,467","4,635","7,816,087","1,137,979","6,868,396",Europe,9,216,1,,,"20,324"
53,UAE,"795,997","+2,683","2,182",+1,"756,805","37,010",,"79,022",217,"116,329,034","11,548,454","10,073,126",Asia,13,"4,616",0,266,0.10,"3,674"
54,Lebanon,"794,744",,"9,325",,"675,895","109,524",186,"117,242","1,376","4,795,578","707,451","6,778,671",Asia,9,727,1,,,"16,157"
55,Croatia,"794,190","+9,157","13,006",+23,"725,684","55,500",216,"195,299","3,198","3,941,654","969,293","4,066,524",Europe,5,313,1,"2,252",6,"13,648"
56,Tunisia,"756,155",,"25,731",,"701,142","29,282",115,"62,972","2,143","3,543,022","295,062","12,007,740",Africa,16,467,3,,,"2,439"
57,Belarus,"711,723","+1,091","5,774",+17,"704,524","1,425",,"75,358",611,"11,272,583","1,193,552","9,444,567",Europe,13,"1,636",1,116,2,151
58,Bolivia,"711,299","+14,063","20,103",+47,"568,279","122,917",220,"59,690","1,687","2,633,963","221,036","11,916,468",South America,17,593,5,"1,180",4,"10,315"
59,S. Korea,"679,030","+4,162","6,210",+44,"575,763","97,057",701,"13,227",121,"15,804,065","307,851","51,336,696",Asia,76,"8,267",3,81,0.9,"1,891"
60,Guatemala,"643,447",,"16,128",,"611,004","16,315",5,"34,928",875,"3,357,498","182,254","18,422,045",North America,29,"1,142",5,,,886
61,Azerbaijan,"622,881",,"8,480",,"606,888","7,513",,"60,598",825,"5,968,349","580,638","10,278,951",Asia,17,"1,212",2,,,731
62,Costa Rica,"599,965",,"7,394",,"563,096","29,475",55,"116,154","1,431","3,105,720","601,270","5,165,263",North America,9,699,2,,,"5,706"
63,Saudi Arabia,"599,044","+5,499","8,901",+2,"555,035","35,108",262,"16,807",250,"34,885,540","978,758","35,642,675",Asia,59,"4,004",1,154,0.06,985
64,Sri Lanka,"593,725",,"15,163",,"567,519","11,043",,"27,550",704,"5,726,599","265,728","21,550,605",Asia,36,"1,421",4,,,512
65,Ecuador,"578,525",,"34,122",,N/A,N/A,759,"32,047","1,890","2,187,626","121,181","18,052,608",South America,31,529,8,,,"5,568"
66,Lithuania,"555,971","+4,051","7,603",+19,"508,778","39,590",92,"208,686","2,854","6,813,060","2,557,308","2,664,153",Europe,5,350,0,"1,521",7,"14,860"
67,Panama,"540,072",,"7,486",,"493,654","38,932",35,"122,227","1,694","4,724,238","1,069,172","4,418,596",North America,8,590,1,,,"8,811"
68,Myanmar,"532,725",+172,"19,298",+1,"510,883","2,544",,"9,692",351,"6,175,502","112,348","54,967,748",Asia,103,"2,848",9,3,0.02,46
69,Slovenia,"512,793","+6,855","5,685",+7,"456,457","50,651",153,"246,609","2,734","2,187,272","1,051,889","2,079,375",Europe,4,366,1,"3,297",3,"24,359"
70,Paraguay,"486,523",,"16,697",,"449,666","20,160",59,"66,954","2,298","2,119,262","291,648","7,266,505",South America,15,435,3,,,"2,774"
71,Dominican Republic,"476,504",,"4,259",,"431,297","40,948",168,"43,262",387,"2,727,733","247,654","11,014,276",North America,23,"2,586",4,,,"3,718"
72,Uruguay,"473,180",,"6,205",,"409,328","57,647",54,"135,498","1,777","4,671,267","1,337,649","3,492,148",South America,7,563,1,,,"16,508"
73,Norway,"472,355",,"1,381",+9,"88,952","382,022",85,"86,101",252,"9,549,866","1,740,745","5,486,080",Europe,12,"3,973",1,,2,"69,635"
74,Ethiopia,"450,997",,"7,090",,"368,000","75,907",443,"3,780",59,"4,221,863","35,385","119,313,025",Africa,265,"16,828",28,,,636
75,Venezuela,"449,730",,"5,370",,"437,624","6,736",681,"15,884",190,"3,359,014","118,640","28,312,649",South America,63,"5,272",8,,,238
76,Kuwait,"446,547",,"2,473",,"415,608","28,466",17,"102,252",566,"6,308,844","1,444,622","4,367,124",Asia,10,"1,766",1,,,"6,518"
77,Palestine,"443,817",+528,"4,738",+2,"434,717","4,362",52,"84,015",897,"2,886,013","546,328","5,282,569",Asia,12,"1,115",2,100,0.4,826
78,Mongolia,"400,434","+2,279","2,079",+3,"313,256","85,099",192,"119,213",619,"4,030,048","1,199,780","3,358,989",Asia,8,"1,616",1,678,0.9,"25,335"
79,Egypt,"395,688",,"22,042",,"329,802","43,844",122,"3,758",209,"3,693,367","35,080","105,284,041",Africa,266,"4,777",29,,,416
80,Libya,"395,687",+618,"5,822",+9,"383,080","6,785",132,"56,413",830,"2,088,275","297,723","7,014,149",Africa,18,"1,205",3,88,1,967
81,Moldova,"383,544",,"10,406",,"365,530","7,608",131,"95,418","2,589","2,486,339","618,551","4,019,616",Europe,10,386,2,,,"1,893"
82,Honduras,"382,815",+375,"10,450",,"126,927","245,438",95,"37,733","1,030","1,158,074","114,148","10,145,409",North America,27,971,9,37,,"24,192"
83,Finland,"361,553","+14,277","1,700",+12,"46,000","313,853",59,"65,099",306,"9,000,966","1,620,660","5,553,889",Europe,15,"3,267",1,"2,571",2,"56,510"
84,Armenia,"346,811",+298,"8,014",+4,"333,311","5,486",,"116,704","2,697","2,625,952","883,648","2,971,717",Asia,9,371,1,100,1,"1,846"
85,Kenya,"315,665","+1,175","5,472",+3,"279,044","31,149",49,"5,679",98,"3,127,480","56,269","55,580,829",Africa,176,"10,157",18,21,0.05,560
86,Oman,"310,338",+750,"4,119",,"301,458","4,761",16,"58,499",776,"25,000,000","4,712,552","5,304,981",Asia,17,"1,288",0,141,,897
87,Bosnia and Herzegovina,"310,023","+2,590","13,722",+26,"192,218","104,083",,"95,404","4,223","1,542,974","474,821","3,249,589",Europe,10,237,2,797,8,"32,030"
88,Bahrain,"298,542",,"1,397",,"282,024","15,121",2,"166,613",780,"8,308,417","4,636,831","1,791,831",Asia,6,"1,283",0,,,"8,439"
89,Latvia,"295,961","+2,566","4,700",+10,"269,718","21,543",86,"159,609","2,535","5,735,055","3,092,871","1,854,282",Europe,6,395,0,"1,384",5,"11,618"
90,Zambia,"291,582","+2,167","3,834",+4,"263,758","23,990",252,"15,210",200,"3,093,383","161,365","19,170,098",Africa,66,"5,000",6,113,0.2,"1,251"
91,Singapore,"288,125",,839,,"280,559","6,727",11,"48,664",142,"21,098,774","3,563,550","5,920,718",Asia,21,"7,057",0,,,"1,136"
92,Qatar,"287,091","+4,187",623,+2,"251,693","34,775",67,"102,247",222,"3,251,971","1,158,190","2,807,805",Asia,10,"4,507",1,"1,491",0.7,"12,385"
93,Estonia,"260,396","+2,438","1,967",+4,"232,442","25,987",18,"196,096","1,481","2,624,156","1,976,170","1,327,900",Europe,5,675,1,"1,836",3,"19,570"
94,Nigeria,"249,586",,"3,092",,"220,839","25,655",11,"1,167",14,"3,933,209","18,384","213,943,211",Africa,857,"69,193",54,,,120
95,North Macedonia,"238,061",,"8,062",,"216,521","13,478",,"114,274","3,870","1,679,890","806,382","2,083,243",Europe,9,258,1,,,"6,470"
96,Botswana,"232,432",,"2,497",,"216,820","13,115",1,"95,881","1,030","2,026,898","836,117","2,424,180",Africa,10,971,1,,,"5,410"
97,Albania,"224,569",,"3,253",,"204,809","16,507",23,"78,166","1,132","1,549,558","539,354","2,872,989",Europe,13,883,2,,,"5,746"
98,Zimbabwe,"224,433",,"5,215",,"201,649","17,569",12,"14,771",343,"1,911,810","125,829","15,193,698",Africa,68,"2,913",8,,,"1,156"
99,Algeria,"223,806",,"6,372",,"153,469","63,965",41,"4,967",141,"230,861","5,123","45,061,227",Africa,201,"7,072",195,,,"1,420"
100,Cyprus,"215,271",,669,,"124,370","90,232",60,"176,336",548,"9,477,138","7,763,036","1,220,803",Asia,6,"1,825",0,,,"73,912"
101,Mozambique,"214,807",,"2,105",,"175,561","37,141",13,"6,591",65,"1,165,542","35,761","32,592,506",Africa,152,"15,483",28,,,"1,140"
102,Uzbekistan,"202,473",+714,"1,508",+3,"197,703","3,262",23,"5,918",44,"1,377,915","40,277","34,210,764",Asia,169,"22,686",25,21,0.09,95
103,Montenegro,"196,640",,"2,457",,"177,564","16,619",60,"313,027","3,911","1,051,462","1,673,801","628,188",Europe,3,256,1,,,"26,455"
104,Kyrgyzstan,"187,620",+742,"2,826",+3,"180,629","4,165",131,"28,050",423,"1,907,195","285,136","6,688,725",Asia,36,"2,367",4,111,0.4,623
105,Afghanistan,"158,602",+43,"7,376",,"145,887","5,339","1,124","3,939",183,"833,683","20,704","40,267,687",Asia,254,"5,459",48,1,,133
106,Uganda,"156,637",+591,"3,378",+8,"98,839","54,420",178,"3,267",70,"2,244,422","46,811","47,945,983",Africa,306,"14,194",21,12,0.2,"1,135"
107,Namibia,"153,611",+346,"3,783",+22,"141,103","8,725",25,"58,827","1,449","893,635","342,227","2,611,231",Africa,17,690,3,133,8,"3,341"
108,Ghana,"152,729",,"1,336",,"140,504","10,889",5,"4,763",42,"2,158,619","67,322","32,063,976",Africa,210,"24,000",15,,,340
109,Rwanda,"123,166",,"1,391",,"45,522","76,253",8,"9,162",103,"4,241,495","315,526","13,442,609",Africa,109,"9,664",3,,,"5,672"
110,El Salvador,"123,025",,"3,828",,"116,526","2,671",49,"18,822",586,"1,552,331","237,495","6,536,272",North America,53,"1,707",4,,,409
111,Laos,"122,241",+805,471,+7,"7,660","114,110",,"16,437",63,"939,190","126,287","7,436,963",Asia,61,"15,790",8,108,0.9,"15,344"
112,Cambodia,"120,718",+34,"3,015",,"117,057",646,,"7,071",177,"2,778,687","162,756","17,072,722",Asia,141,"5,663",6,2,,38
113,Luxembourg,"118,925",,930,,"99,285","18,710",19,"185,373","1,450","3,871,629","6,034,852","641,545",Europe,5,690,0,,,"29,164"
114,Cameroon,"109,666",,"1,853",,"106,050","1,763",13,"3,980",67,"1,751,774","63,573","27,555,119",Africa,251,"14,871",16,,,64
115,Jamaica,"106,379",,"2,506",,"66,751","37,122",10,"35,686",841,"740,520","248,418","2,980,940",North America,28,"1,190",4,,,"12,453"
116,Réunion,"102,216",,435,,"75,943","25,838",34,"112,935",481,"1,424,291","1,573,654","905,085",Africa,9,"2,081",1,,,"28,548"
117,Maldives,"99,635",,264,,"94,702","4,669",23,"179,492",476,"1,929,181","3,475,407","555,095",Asia,6,"2,103",0,,,"8,411"
118,Trinidad and Tobago,"98,474",,"3,119",,"79,367","15,988",22,"70,017","2,218","528,124","375,509","1,406,421",North America,14,451,3,,,"11,368"
119,Angola,"91,907",,"1,842",,"81,041","9,024",14,"2,670",54,"1,317,776","38,278","34,426,888",Africa,375,"18,690",26,,,262
120,DRC,"81,719",,"1,225",,"50,930","29,564",,872,13,"846,704","9,035","93,718,032",Africa,"1,147","76,505",111,,,315
121,Malawi,"81,414",,"2,437",,"63,716","15,261",67,"4,094",123,"508,874","25,591","19,884,893",Africa,244,"8,160",39,,,767
